Well;Sample ID;Range;ng/uL;% Total;nmole/L;Avg. Size;%CV;Size Threshold (b.p.);DQN
C7;419;227 bp to 277 bp;0.0196;3.2;0.129;250;5.72;300;1.4
C7;419;277 bp to 327 bp;0.0148;2.4;0.0806;302;4.87;300;1.4
C7;419;327 bp to 427 bp;0.0215;3.6;0.0942;375;7.74;300;1.4
C8;Lib_b_3;25 bp to 157 bp;3.8194;93.6;48.6293;129;20.63;300;0
C8;Lib_b_3;157 bp to 500 bp;0.2588;6.3;2.3211;183;22.3;300;0
C8;Lib_b_3;157 bp to 177 bp;0.1722;4.2;1.7298;164;3.32;300;0
C8;Lib_b_3;177 bp to 202 bp;0.0483;1.2;0.4235;188;3.75;300;0
C8;Lib_b_3;202 bp to 227 bp;0.0135;0.3;0.1047;211;3.38;300;0
C8;Lib_b_3;227 bp to 277 bp;0.0135;0.3;0.0878;253;5.52;300;0
C8;Lib_b_3;277 bp to 327 bp;0.009;0.2;0.0491;300;4.71;300;0
C8;Lib_b_3;327 bp to 427 bp;0.0043;0.1;0.0201;348;5.96;300;0
D5;403;25 bp to 157 bp;0.7935;9.6;14.9631;87;58.06;300;0.9
D5;403;157 bp to 500 bp;7.3792;89.2;54.9178;221;26.53;300;0.9
D5;403;157 bp to 177 bp;1.2757;15.4;12.3212;170;3.11;300;0.9
D5;403;177 bp to 202 bp;2.458;29.7;21.4502;188;3.75;300;0.9
D5;403;202 bp to 227 bp;1.4531;17.6;11.1884;214;3.43;300;0.9
D5;403;227 bp to 277 bp;1.3403;16.2;8.8968;248;5.76;300;0.9
D5;403;277 bp to 327 bp;0.4921;5.9;2.715;298;4.87;300;0.9
D5;403;327 bp to 427 bp;0.3758;4.5;1.6776;369;7.67;300;0.9
D6;414;25 bp to 157 bp;0.7583;11.1;15.3612;81;54.42;300;2.9
D6;414;157 bp to 500 bp;5.2757;77.5;33.6838;258;31.09;300;2.9
D6;414;157 bp to 177 bp;0.3157;4.6;3.0586;170;3.37;300;2.9
D6;414;177 bp to 202 bp;1.2163;17.9;10.5236;190;3.62;300;2.9
D6;414;202 bp to 227 bp;1.0457;15.4;8.0391;214;3.43;300;2.9
D6;414;227 bp to 277 bp;1.1782;17.3;7.7787;249;5.82;300;2.9
D6;414;277 bp to 327 bp;0.6178;9.1;3.3942;299;4.91;300;2.9
D6;414;327 bp to 427 bp;0.6662;9.8;2.9438;372;7.74;300;2.9
D7;421;25 bp to 157 bp;2.5587;79.6;68.9643;61;39.2;300;0.6
D7;421;157 bp to 500 bp;0.6138;19.1;3.7502;269;24.21;300;0.6
D7;421;157 bp to 177 bp;0.038;1.2;0.3714;168;3.41;300;0.6
D7;421;177 bp to 202 bp;0.0606;1.9;0.5249;190;3.79;300;0.6
D7;421;202 bp to 227 bp;0.0752;2.3;0.5744;215;3.39;300;0.6
D7;421;227 bp to 277 bp;0.1895;5.9;1.2335;253;5.69;300;0.6
D7;421;277 bp to 327 bp;0.1475;4.6;0.8098;300;4.85;300;0.6
D7;421;327 bp to 427 bp;0.0971;3;0.4425;361;7.14;300;0.6
D8;Lib_b_4;25 bp to 157 bp;1.9902;94.7;28.0973;116;30.36;300;0
D8;Lib_b_4;157 bp to 500 bp;0.0981;4.7;0.8594;188;25.84;300;0
D8;Lib_b_4;157 bp to 177 bp;0.0633;3;0.6361;163;3.29;300;0
D8;Lib_b_4;177 bp to 202 bp;0.0178;0.8;0.1563;188;3.72;300;0
D8;Lib_b_4;202 bp to 227 bp;0.0056;0.3;0.0436;212;3.51;300;0
D8;Lib_b_4;227 bp to 277 bp;0.0068;0.3;0.0442;253;5.69;300;0
D8;Lib_b_4;277 bp to 327 bp;0.0015;0.1;0.0081;298;4.74;300;0
D8;Lib_b_4;327 bp to 427 bp;0.0035;0.2;0.0164;354;3.9;300;0
